77 hits shown

3,29,-506
2380,-23,26,-511
2382,-24,28,-512
2384,-25,27,-509
2385,-25,31,-512
2387,-27,27,-512
2390,-21,28,-510
2392,-22,29,-511
2394,-24,26,-511
2396,-22,26,-507
2398,-25,29,-512
2399,-24,30,-508
2401,-24,29,-511
2403,-22,28,-514
2405,-24,29,-510
2407,-21,29,-510
2409,-25,28,-510
2411,-25,27,-509
2413,-25,29,-510
2414,-24,26,-512
2416,-22,30,-510
2418,-28,28,-510
2420,-26,30,-509
2422,-26,28,-511
2424,-26,29,-510
2426,-22,28,-512
2428,-22,30,-511
2429,-22,29,-510
2432,-24,28,-509
2434,-24,32,-509
2436,-25,29,-511
2438,-24,27,-511
2440,-24,28,-510
2442,-25,29,-510
2443,-23,28,-511
2445,-24,29,-511
2447,-22,30,-506
2449,-22,27,-513
2451,-26,27,-510
2453,-26,27,-513
2455,-25,26,-512
2457,-24,30,-510
2458,-25,30,-512
2460,-26,30,-510
2462,-24,27,-508
2464,-25,27,-509
2466,-22,27,-508
2468,-26,28,-509
2470,-22,30,-510
2472,-26,28,-510
Accel reponse timeout: 5
2485,-22,29,-509
2487,-23,31,-511
2489,-24,29,-510
2490,-24,27,-510
2492,-25,26,-511
2494,-24,27,-511
2496,-23,26,-509
2498,-25,30,-510
2500,-24,28,-510
2502,-25,27,-511
2504,-24,31,-507
2505,-23,29,-480
2507,-21,37,-449
2509,-24,25,-505
2511,-12,29,-530
2513,-16,17,-555
2515,-11,15,-536
2518,6,27,-494
2519,199,90,-475
2521,66,-9,-176
2523,-104,66,-441
2525,-114,3,-517
2527,-23,46,-557
2529,-28,-1,-549
2531,-20,23,-567
2533,-30,34,-586
2534,-23,44,-547
2536,-38,34,-490
2538,-45,37,-455
2540,-38,37,-507
2542,-41,38,-492
2544,-31,20,-533
2546,-39,28,-560
2547,-18,28,-553
2549,-45,19,-489
2551,-40,28,-481
2553,-42,28,-474
2555,-38,33,-470
2557,-37,35,-497
2560,-13,10,-515
2562,51,32,-549
2563,-13,25,-528
2565,-44,45,-533
2567,-676,20,-1214
2569,440,120,-650
2571,130,117,-275
2573,-75,-26,-387
2575,-120,-53,-436
2577,-22,86,-645
2579,-5,46,-555
2581,-18,-44,-481
2582,-50,-60,-615
2584,19,65,-503
2586,8,71,-355
2588,-31,69,-408
2590,-32,26,-426
2592,-15,43,-383
2594,3,50,-491
2595,-5,20,-555
2597,-6,6,-557
2599,2,0,-474
2601,-4,1,-478
2604,-15,24,-532
2605,-13,26,-505
2607,-7,-5,-504
2609,-18,4,-545
2611,-8,24,-534
2613,-6,13,-526
2615,-8,27,-523
2616,-15,37,-519
2618,-21,47,-485
2620,-24,55,-488
2622,-35,28,-508
2624,-12,-13,-558
2626,-31,-16,-501
2628,-44,-12,-588
2629,-53,17,-573
2631,-46,18,-528
2633,-49,8,-540
2635,-51,19,-528
2637,-160,74,-423
2639,-66,32,-517
2641,-22,35,-517
2643,-48,49,-535
2644,-42,33,-526
2647,-23,50,-495
2649,-31,38,-499
2651,-35,29,-496
2653,-36,35,-505
2655,-29,30,-514
2657,-23,19,-531
2659,-17,13,-550
2660,-16,17,-549
2662,-9,18,-496
2664,-22,31,-515
2666,16,29,-644
2668,-181,174,-543
2670,-2,118,-490
2672,60,50,-434
2674,-52,25,-493
2675,-26,39,-496
2677,-11,28,-491
2679,-13,29,-494
2681,-17,17,-487
2683,-22,22,-493
2685,-17,18,-492
2688,-18,18,-507
2689,-18,17,-509
2691,-19,18,-510
2693,-17,32,-505
2695,-18,36,-492
2697,-19,38,-482
2699,-20,42,-485
2701,-21,41,-490
2703,-18,40,-492
2704,-22,36,-524
2706,-22,32,-511
2708,86,4,-512
2710,-33,-17,-534
